,GEOID,City,total,total_workforce,total_income,pct_of_wf_in_weapons,estimated_income_from_weapons
170,4813552,Cedar Park,5,40754,3587705700,0.00012268734357363695,440166.08185699565
171,4857476,Pilot Point,5,2387,127586800,0.0020946795140343527,267253.45622119814
172,4853212,Oak Trail Shores,5,1209,55315500,0.0041356492969396195,228765.5086848635
173,4830392,Graham,5,4331,257466900,0.0011544677903486493,297237.2431309167
174,4829336,Georgetown,5,28902,2787446500,0.00017299840841464257,482223.808040966
175,4861700,Rhome,4,992,56444200,0.004032258064516129,227597.58064516127
176,4855152,Parker,4,2359,314012400,0.001695633743111488,532450.0211954218
177,4871756,Talty,4,1174,105599200,0.0034071550255536627,359792.84497444634
178,4807492,Belton,4,10311,633745800,0.0003879352148191252,245852.31306371838
179,4825488,Farmersville,4,1187,86948200,0.003369839932603201,293001.5164279697
180,4815796,Cockrell Hill,4,2040,85150900,0.00196078431372549,166962.54901960783
181,4816636,Copper Canyon,4,1053,135500000,0.003798670465337132,514719.8480531814
182,4872284,Terrell,4,8353,420000500,0.00047886986711361186,201125.58362265053
183,4868624,Snyder,4,5047,287246000,0.0007925500297206261,227656.82583713095
184,4855080,Paris,4,11551,549519400,0.0003462903644706086,190293.27330967016
185,4846776,Marshall,4,10342,548134100,0.00038677238445175013,212003.13285631404
186,4830920,Greenville,4,13629,732713300,0.00029349181891554773,215045.3591606134
187,4809748,Boyd,4,803,43069700,0.0049813200498132005,214543.9601494396
188,4817504,Crandall,4,1996,122168900,0.002004008016032064,244827.45490981961
189,4850772,Newark,4,513,27272200,0.007797270955165692,212648.73294346977
190,4829036,Garrett,4,463,19818700,0.008639308855291577,171219.87041036718
191,4816624,Copperas Cove,4,17210,970477900,0.00023242300987797793,225561.39453805928
192,4867100,Shady Shores,4,1422,134738300,0.0028129395218002813,379010.68917018286
193,4845012,Lucas,4,4094,585353700,0.0009770395701025891,571913.72740596
194,4848804,Missouri City,4,39447,2842600400,0.00010140188100489264,288245.02750526025
195,4856348,Pearland,4,63864,5447462800,6.26330953275711e-05,341191.45684579737
196,4865660,Sansom Park,4,2415,111734200,0.0016563146997929607,185066.99792960662
197,4843132,Livingston,4,2919,127413200,0.0013703323055841042,174598.42411784857
198,4827984,Gainesville,4,8646,392108100,0.0004626416840157298,181405.5517002082
199,4865066,Sanctuary,4,125,9523400,0.032,304748.8
200,4854744,Palmer,4,1374,59343100,0.002911208151382824,172760.11644832607
201,4846740,Marlin,3,1863,89659600,0.001610305958132045,144379.38808373592
202,4825752,Ferris,3,1327,65155600,0.002260738507912585,147299.7739261492
203,4839952,Kyle,3,24638,1486405400,0.0001217631301241984,180989.37413751116
204,4803372,Anson,3,827,45109000,0.0036275695284159614,163636.0338573156
205,4841464,Laredo,3,112007,5397862000,2.6784040283196585e-05,144576.5532511361
